release_date,budget,revenue_worldwide,runtime,genres,cast_popularity_mean,cast_popularity_max,director_popularity,original_language,imdb_rating,imdb_votes,mpaa_rating,domestic_box_office,rotten_tomatoes_score,metacritic_score,season
2020-11-18,35000000.0,83977925.5,112,"['Family', 'Fantasy', 'Adventure', 'Comedy']",3.1393,4.9614,1.9594,en,6.6,96014.0,Unknown,0.0,64.0,58.0,Fall
2021-04-22,40000000.0,103966489.0,119,"['Thriller', 'Crime', 'Drama']",6.438133333333333,16.3832,3.5927,en,6.6,96014.0,Unknown,0.0,64.0,58.0,Spring
2021-06-25,35000000.0,83977925.5,89,"['Animation', 'Comedy', 'Adventure', 'Family']",0.21626666666666602,0.2857,0.28250000000000003,es,6.6,96014.0,Unknown,0.0,64.0,58.0,Summer
2015-03-09,35000000.0,83977925.5,8,"['Animation', 'Family', 'Adventure', 'Comedy']",2.439733333333333,3.6304,1.0623,en,6.6,96014.0,Unknown,0.0,64.0,58.0,Spring
2011-11-09,35000000.0,84606030.0,137,"['Drama', 'Crime', 'History']",4.3585,9.2982,6.3042,en,6.6,96014.0,Unknown,0.0,64.0,58.0,Fall
2006-03-10,50000000.0,130224158.0,97,"['Romance', 'Comedy']",6.6164000000000005,10.2529,0.2917,en,6.6,96014.0,Unknown,0.0,64.0,58.0,Spring
2002-07-17,20000000.0,14946150.0,96,"['Action', 'Drama', 'Crime']",3.2540666666666658,3.7215,0.9292,en,6.6,96014.0,Unknown,0.0,64.0,58.0,Summer
2022-09-09,35000000.0,872000.0,83,"['Animation', 'Drama', 'Romance', 'Fantasy', 'Science Fiction']",1.2139,1.3246,0.7948000000000001,ja,6.6,96014.0,Unknown,0.0,64.0,58.0,Fall
2013-03-29,37000000.0,53143144.0,111,['Drama'],3.146633333333333,7.2935,2.7751,en,6.6,96014.0,Unknown,0.0,64.0,58.0,Spring
2018-10-24,52000000.0,910813521.0,135,"['Music', 'Drama']",4.023533333333333,5.7054,0.9127000000000001,en,6.6,96014.0,Unknown,0.0,64.0,58.0,Fall
2021-11-17,35000000.0,83977925.5,93,"['Comedy', 'Romance']",0.5063333333333331,0.6926,0.5727,fr,6.6,96014.0,Unknown,0.0,64.0,58.0,Fall
2015-10-30,8000000.0,4668442.0,89,"['Comedy', 'Animation', 'Family']",0.34299999999999903,0.5194,0.1218,es,6.6,96014.0,Unknown,0.0,64.0,58.0,Fall
2020-10-26,35000000.0,29303571.0,104,"['Comedy', 'Fantasy', 'Family', 'Horror']",6.069866666666666,12.1024,1.8764,en,6.6,96014.0,Unknown,0.0,64.0,58.0,Fall
2013-02-28,5000000.0,15200000.0,88,"['Horror', 'Thriller']",1.247066666666666,2.5772,0.2016,en,6.6,96014.0,Unknown,0.0,64.0,58.0,Winter
2016-02-09,58000000.0,782837347.0,108,"['Action', 'Adventure', 'Comedy']",6.987333333333333,10.3836,1.1308,en,6.6,96014.0,Unknown,0.0,64.0,58.0,Winter
2018-06-28,80000000.0,528600000.0,97,"['Animation', 'Comedy', 'Family', 'Fantasy']",4.438966666666666,4.8677,0.8697,en,6.6,96014.0,Unknown,0.0,64.0,58.0,Summer
2020-03-11,14000000.0,10550350.0,90,"['Action', 'Thriller', 'Horror']",2.334366666666666,3.2506,0.7771,en,6.6,96014.0,Unknown,0.0,64.0,58.0,Spring
2002-05-14,35000000.0,810243.0,111,"['Action', 'Thriller']",2.783066666666666,4.4025,1.3016,cn,6.6,96014.0,Unknown,0.0,64.0,58.0,Spring
2007-09-01,7000000.0,20121073.0,101,"['Animation', 'Science Fiction', 'Action', 'Drama']",1.9257666666666662,2.2348,1.2025000000000001,ja,6.6,96014.0,Unknown,0.0,64.0,58.0,Fall
2020-08-14,60000000.0,4810790.0,95,"['Family', 'Comedy', 'Adventure', 'Animation']",1.7065000000000001,2.7145,0.3351,en,6.6,96014.0,Unknown,0.0,64.0,58.0,Summer
2025-09-23,35000000.0,1030111.0,98,['Thriller'],4.827000000000001,8.2184,0.7676000000000001,en,6.6,96014.0,Unknown,0.0,64.0,58.0,Fall
2013-12-19,35000000.0,83977925.5,94,['Comedy'],0.6314666666666661,1.0175,0.3206,it,6.6,96014.0,Unknown,0.0,64.0,58.0,Winter
